	database	name	environmental_metadata	hostID	metadata_classification	study_citation	study_classification	refseq_accession	symbiont	T3SS	T4SS	T6SS	database_result	T3SS_result	T4SS_result	T6SS_result	symbiont_result	at_least_1_SS_result	db_T3SS_result	db_T4SS_result	db_T6SS_result	db_symbiont_result	db_at_least_1_SS_result
10	BacMap	Synechococcus elongatus PCC 6301	Aquatic	0	n	"""Sugita C, Ogata K, Shikata M, Jikuya H, Takano J, Furumichi M, Kanehisa M, Omata T, Sugiura M, Sugita M. Complete nucleotide sequence of the freshwater unicellular cyanobacterium Synechococcus elongatus PCC 6301 chromosome: gene content and organization. Photosynth Res. 2007 Jul-Sep;93(1-3):55-67. doi: 10.1007/s11120-006-9122-4. Epub 2007 Jan 9. PMID: 17211581."""	n	GCF_000010065.1	-	-	-	-	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
11	BacMap	Staphylococcus haemolyticus JCSC1435	HostAssociated	9606	s	"""Takeuchi F, Watanabe S, Baba T, Yuzawa H, Ito T, Morimoto Y, Kuroda M, Cui L, Takahashi M, Ankai A, Baba S, Fukui S, Lee JC, Hiramatsu K. Whole-genome sequencing of staphylococcus haemolyticus uncovers the extreme plasticity of its genome and the evolution of human-colonizing staphylococcal species. J Bacteriol. 2005 Nov;187(21):7292-308. doi: 10.1128/JB.187.21.7292-7308.2005. PMID: 16237012; PMCID: PMC1272970."""	s	GCF_000009865.1	-	n.c.	-	n.c.	TP	A	FN	A	FN	FN	TP	TP	TP	TP	TP
12	BacMap	Mycoplasma bovis PG45	HostAssociated	9913	s	"""Wise KS, Calcutt MJ, Foecking MF, Röske K, Madupu R, Methé BA. Complete genome sequence of Mycoplasma bovis type strain PG45 (ATCC 25523). Infect Immun. 2011 Feb;79(2):982-3. doi: 10.1128/IAI.00726-10. Epub 2010 Dec 6. PMID: 21134966; PMCID: PMC3028869."""	s	GCF_000183385.1	+	n.c.	-	n.c.	TP	A	FN	A	TP	FN	TP	TP	TP	TP	TP
13	BacMap	Cronobacter sakazakii ATCC BAA-894	HostAssociated	9606	s	"""Kucerova E, Clifton SW, Xia XQ, Long F, Porwollik S, Fulton L, Fronick C, Minx P, Kyung K, Warren W, Fulton R, Feng D, Wollam A, Shah N, Bhonagiri V, Nash WE, Hallsworth-Pepin K, Wilson RK, McClelland M, Forsythe SJ. Genome sequence of Cronobacter sakazakii BAA-894 and comparative genomic hybridization analysis with other Cronobacter species. PLoS One. 2010 Mar 8;5(3):e9556. doi: 10.1371/journal.pone.0009556. PMID: 20221447; PMCID: PMC2833190."""	s	GCF_000017665.1	-	-	n.d.	+	TP	FN	A	TP	FN	TP	TP	TP	TP	TP	TP
14	BacMap	Photorhabdus asymbiotica subsp. asymbiotica ATCC 43949	HostAssociated	0	s	"""Wilkinson P, Waterfield NR, Crossman L, Corton C, Sanchez-Contreras M, Vlisidou I, Barron A, Bignell A, Clark L, Ormond D, Mayho M, Bason N, Smith F, Simmonds M, Churcher C, Harris D, Thompson NR, Quail M, Parkhill J, Ffrench-Constant RH. Comparative genomics of the emerging human pathogen Photorhabdus asymbiotica with the insect pathogen Photorhabdus luminescens. BMC Genomics. 2009 Jul 7;10:302. doi: 10.1186/1471-2164-10-302. PMID: 19583835; PMCID: PMC2717986."""	s	GCF_000196475.1	-	+	-	+	TP	TP	FN	TP	FN	TP	TP	TP	TP	TP	TP
15	BacMap	Rickettsia akari str. Hartford	HostAssociated	9606	s	"""EUSTIS EB, FULLER HS. Rickettsialpox. II. Recovery of Rickettsia akari from mites Allodermanyssus sanguineus, from West Hartford, Conn. Proc Soc Exp Biol Med. 1952 Jul;80(3):546-9. doi: 10.3181/00379727-80-19685. PMID: 14949113."""	s	GCF_000018205.1	+	-	+	-	TP	FN	TP	FN	TP	TP	TP	TP	TP	TP	TP
16	BacMap	Maribacter sp. HTCC2170	Aquatic	0	n	"""Oh HM, Kang I, Yang SJ, Jang Y, Vergin KL, Giovannoni SJ, Cho JC. Complete genome sequence of strain HTCC2170, a novel member of the genus Maribacter in the family Flavobacteriaceae. J Bacteriol. 2011 Jan;193(1):303-4. doi: 10.1128/JB.01207-10. Epub 2010 Oct 29. PMID: 21037013; PMCID: PMC3019928."""	n	GCF_000153165.2	-	-	-	-	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
17	BacMap	Parvularcula bermudensis HTCC2503	Aquatic	0	n	"""Oh HM, Kang I, Vergin KL, Kang D, Rhee KH, Giovannoni SJ, Cho JC. Complete genome sequence of strain HTCC2503T of Parvularcula bermudensis, the type species of the order """"Parvularculales"""" in the class Alphaproteobacteria. J Bacteriol. 2011 Jan;193(1):305-6. doi: 10.1128/JB.01205-10. Epub 2010 Oct 29. PMID: 21037002; PMCID: PMC3019957."""	n	GCF_000152825.2	-	-	n.d.	+	TN	TN	A	FP	TN	FP	TN	TN	FP	TN	FP
18	BacMap	Chlamydophila psittaci 6BC	HostAssociated	8782	s	"""Voigt A, Schöfl G, Heidrich A, Sachse K, Saluz HP. Full-length de novo sequence of the Chlamydophila psittaci type strain, 6BC. J Bacteriol. 2011 May;193(10):2662-3. doi: 10.1128/JB.00236-11. Epub 2011 Mar 25. PMID: 21441521; PMCID: PMC3133153."""	s	GCF_000191925.1	+	+	-	-	TP	TP	FN	FN	TP	TP	TP	TP	TP	TP	TP
19	BacMap	Mycobacterium vanbaalenii PYR-1	Sediment	0	n	"""Kim SJ, Kweon O, Sutherland JB, Kim HL, Jones RC, Burback BL, Graves SW, Psurny E, Cerniglia CE. Dynamic Response of Mycobacterium vanbaalenii PYR-1 to BP Deepwater Horizon Crude Oil. Appl Environ Microbiol. 2015 Jul;81(13):4263-76. doi: 10.1128/AEM.00730-15. Epub 2015 Apr 17. PMID: 25888169; PMCID: PMC4475866."""	n	GCF_000015305.1	-	-	-	+	TN	TN	TN	FP	TN	FP	TN	TN	FP	TN	FP
20	BacMap	Psychromonas ingrahamii 37	Aquatic	0	n	"""Maciejewska N, Walkusz R, Olszewski M, Szyma?ska A. New Nuclease from Extremely Psychrophilic Microorganism Psychromonas ingrahamii 37: Identification and Characterization. Mol Biotechnol. 2019 Feb;61(2):122-133. doi: 10.1007/s12033-018-0142-z. PMID: 30539415."""	n	GCF_000015285.1	-	-	-	+	TN	TN	TN	FP	TN	FP	TN	TN	FP	TN	FP
21	BacMap	Bordetella avium 197N	HostAssociated	9103	s	"""Sebaihia M, Preston A, Maskell DJ, Kuzmiak H, Connell TD, King ND, Orndorff PE, Miyamoto DM, Thomson NR, Harris D, Goble A, Lord A, Murphy L, Quail MA, Rutter S, Squares R, Squares S, Woodward J, Parkhill J, Temple LM. Comparison of the genome sequence of the poultry pathogen Bordetella avium with those of B. bronchiseptica, B. pertussis, and B. parapertussis reveals extensive diversity in surface structures associated with host interaction. J Bacteriol. 2006 Aug;188(16):6002-15. doi: 10.1128/JB.01927-05. PMID: 16885469; PMCID: PMC1540077."""	s	GCF_000070465.1	-	-	+	+	TP	FN	TP	TP	FN	TP	TP	TP	TP	TP	TP
22	BacMap	Streptococcus mitis B6	HostAssociated	9606	s	"""Denapaite D, Brückner R, Nuhn M, Reichmann P, Henrich B, Maurer P, Schähle Y, Selbmann P, Zimmermann W, Wambutt R, Hakenbeck R. The genome of Streptococcus mitis B6--what is a commensal? PLoS One. 2010 Feb 25;5(2):e9426. doi: 10.1371/journal.pone.0009426. PMID: 20195536; PMCID: PMC2828477."""	s	GCF_000027165.1	-	n.c.	n.d.	n.c.	TP	A	A	A	FN	FN	TP	TP	TP	TP	TP
23	BacMap	Halothermothrix orenii H 168	Aquatic	0	n	"""Mavromatis K, Ivanova N, Anderson I, Lykidis A, Hooper SD, Sun H, Kunin V, Lapidus A, Hugenholtz P, Patel B, Kyrpides NC. Genome analysis of the anaerobic thermohalophilic bacterium Halothermothrix orenii. PLoS One. 2009;4(1):e4192. doi: 10.1371/journal.pone.0004192. Epub 2009 Jan 15. PMID: 19145256; PMCID: PMC2626281."""	n	GCF_000020485.1	-	-	-	-	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
24	BacMap	Clostridium novyi NT	Terrestrial	0	n	Bettegowda, C., Huang, X., Lin, J., Cheong, I., Kohli, M., Szabo, S. A., Zhang, X., Diaz, L. A., Jr, Velculescu, V. E., Parmigiani, G., Kinzler, K. W., Vogelstein, B., & Zhou, S. (2006). The genome and transcriptomes of the anti-tumor agent Clostridium novyi-NT. Nature biotechnology, 24(12), 15731580. https://doi.org/10.1038/nbt1256	s	GCF_000014125.1	-	-	-	+	FN	FN	FN	TP	FN	TP	FN	FN	TP	FN	TP
25	BacMap	Burkholderia phymatum STM815	HostAssociated	53898	s	"""Moulin L, Klonowska A, Caroline B, Booth K, Vriezen JA, Melkonian R, James EK, Young JP, Bena G, Hauser L, Land M, Kyrpides N, Bruce D, Chain P, Copeland A, Pitluck S, Woyke T, Lizotte-Waniewski M, Bristow J, Riley M. Complete Genome sequence of Burkholderia phymatum STM815(T), a broad host range and efficient nitrogen-fixing symbiont of Mimosa species. Stand Genomic Sci. 2014 Mar 25;9(3):763-74. doi: 10.4056/sigs.4861021. PMID: 25197461; PMCID: PMC4148976."""	s	GCF_000020045.1	-	n.d.	+	+	TP	A	TP	TP	FN	TP	TP	TP	TP	TP	TP
26	BacMap	Clostridium cellulolyticum H10	Terrestrial	0	n	"""Giallo J, Gaudin C, Belaich JP, Petitdemange E, Caillet-Mangin F. Metabolism of glucose and cellobiose by cellulolytic mesophilic Clostridium sp. strain H10. Appl Environ Microbiol. 1983 Mar;45(3):843-9. doi: 10.1128/aem.45.3.843-849.1983. PMID: 6847188; PMCID: PMC242381."""	n	GCF_000022065.1	-	n.c.	-	n.c.	TN	A	TN	A	TN	TN	TN	TN	TN	TN	TN
27	BacMap	Bifidobacterium dentium Bd1	HostAssociated	9606	s	"""Ventura M, Turroni F, Zomer A, Foroni E, Giubellini V, Bottacini F, Canchaya C, Claesson MJ, He F, Mantzourani M, Mulas L, Ferrarini A, Gao B, Delledonne M, Henrissat B, Coutinho P, Oggioni M, Gupta RS, Zhang Z, Beighton D, Fitzgerald GF, O'Toole PW, van Sinderen D. The Bifidobacterium dentium Bd1 genome sequence reflects its genetic adaptation to the human oral cavity. PLoS Genet. 2009 Dec;5(12):e1000785. doi: 10.1371/journal.pgen.1000785. Epub 2009 Dec 24. PMID: 20041198; PMCID: PMC2788695."""	s	GCF_000024445.1	-	n.c.	-	n.c.	TP	A	FN	A	FN	FN	TP	TP	TP	TP	TP
28	BacMap	Burkholderia mallei NCTC 10229	HostAssociated	9606	s	Vijai Pal, Subodh Kumar, Praveen Malik, Ganga Prasad Rai. Evaluation of Recombinant Proteins of Burkholderia mallei for Serodiagnosis of Glanders. American Society for Microbiology. 2022 Jun 21. doi: 10.1128/CVI.00137-12. 	s	GCF_000015605.1	-	+	+	+	TP	TP	TP	TP	FN	TP	TP	TP	TP	TP	TP
29	BacMap	Porphyromonas gingivalis ATCC 33277	HostAssociated	9606	s	"""Naito M, Hirakawa H, Yamashita A, Ohara N, Shoji M, Yukitake H, Nakayama K, Toh H, Yoshimura F, Kuhara S, Hattori M, Hayashi T, Nakayama K. Determination of the genome sequence of Porphyromonas gingivalis strain ATCC 33277 and genomic comparison with strain W83 revealed extensive genome rearrangements in P. gingivalis. DNA Res. 2008 Aug;15(4):215-25. doi: 10.1093/dnares/dsn013. Epub 2008 Jun 3. PMID: 18524787; PMCID: PMC2575886."""	s	GCF_000010505.1	-	-	-	-	TP	FN	FN	FN	FN	FN	TP	TP	TP	TP	TP
30	BacMap	Neorickettsia risticii str. Illinois	HostAssociated	9796	s	"""Lin M, Zhang C, Gibson K, Rikihisa Y. Analysis of complete genome sequence of Neorickettsia risticii: causative agent of Potomac horse fever. Nucleic Acids Res. 2009 Oct;37(18):6076-91. doi: 10.1093/nar/gkp642. Epub 2009 Aug 6. PMID: 19661282; PMCID: PMC2764437."""	s	GCF_000022525.1	+	-	+	-	TP	FN	TP	FN	TP	TP	TP	TP	TP	TP	TP
31	BacMap	Sphingobium japonicum UT26S	Terrestrial	0	n	"""Nagata Y, Ohtsubo Y, Endo R, Ichikawa N, Ankai A, Oguchi A, Fukui S, Fujita N, Tsuda M. Complete genome sequence of the representative ?-hexachlorocyclohexane-degrading bacterium Sphingobium japonicum UT26. J Bacteriol. 2010 Nov;192(21):5852-3. doi: 10.1128/JB.00961-10. Epub 2010 Sep 3. PMID: 20817768; PMCID: PMC2953701."""	n	GCF_000091125.1	-	n.c.	n.c.	n.c.	TN	A	A	A	TN	TN	TN	TN	TN	TN	TN
32	BacMap	Anaeromyxobacter dehalogenans 2CP-1	Terrestrial	0	n	Sanford, R. A., Cole, J. R., & Tiedje, J. M. (2002). Characterization and description of Anaeromyxobacter dehalogenans gen. nov., sp. nov., an aryl-halorespiring facultative anaerobic myxobacterium. Applied and environmental microbiology, 68(2), 893900. https://doi.org/10.1128/AEM.68.2.893-900.2002	n	GCF_000022145.1	-	-	-	-	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
33	BacMap	Marinomonas posidonica IVIA-Po-181	Marine	0	n	"""Lucas-Elío P, Goodwin L, Woyke T, Pitluck S, Nolan M, Kyrpides NC, Detter JC, Copeland A, Lu M, Bruce D, Detter C, Tapia R, Han S, Land ML, Ivanova N, Mikhailova N, Johnston AW, Sanchez-Amat A. Complete genome sequence of Marinomonas posidonica type strain (IVIA-Po-181(T)). Stand Genomic Sci. 2012 Oct 10;7(1):31-43. doi: 10.4056/sigs.2976373. Epub 2012 Sep 27. PMID: 23458837; PMCID: PMC3577112."""	n	GCF_000214215.1	-	n.c.	-	n.c.	TN	A	TN	A	TN	TN	TN	TN	TN	TN	TN
34	BacMap	Gardnerella vaginalis ATCC 14019	HostAssociated	9606	s	"""Yeoman CJ, Yildirim S, Thomas SM, Durkin AS, Torralba M, Sutton G, Buhay CJ, Ding Y, Dugan-Rocha SP, Muzny DM, Qin X, Gibbs RA, Leigh SR, Stumpf R, White BA, Highlander SK, Nelson KE, Wilson BA. Comparative genomics of Gardnerella vaginalis strains reveals substantial differences in metabolic and virulence potential. PLoS One. 2010 Aug 26;5(8):e12411. doi: 10.1371/journal.pone.0012411. PMID: 20865041; PMCID: PMC2928729."""	s	GCF_000159155.2	n.d.	n.c.	-	n.c.	TP	A	FN	A	A	FN	TP	TP	TP	TP	TP
35	BacMap	Sulfurospirillum deleyianum DSM 6946	Aquatic	0	n	Sikorski, J., Lapidus, A., Copeland, A., Glavina Del Rio, T., Nolan, M., Lucas, S., Chen, F., Tice, H., Cheng, J. F., Saunders, E., Bruce, D., Goodwin, L., Pitluck, S., Ovchinnikova, G., Pati, A., Ivanova, N., Mavromatis, K., Chen, A., Palaniappan, K., Chain, P.,  Klenk, H. P. (2010). Complete genome sequence of Sulfurospirillum deleyianum type strain (5175). Standards in genomic sciences, 2(2), 149157. https://doi.org/10.4056/sigs.671209	n	GCF_000024885.1	-	n.c.	-	n.c.	TN	A	TN	A	TN	TN	TN	TN	TN	TN	TN
36	BacMap	Listeria monocytogenes HCC23	HostAssociated	9606	s	"""Steele CL, Donaldson JR, Paul D, Banes MM, Arick T, Bridges SM, Lawrence ML. Genome sequence of lineage III Listeria monocytogenes strain HCC23. J Bacteriol. 2011 Jul;193(14):3679-80. doi: 10.1128/JB.05236-11. Epub 2011 May 20. PMID: 21602330; PMCID: PMC3133316."""	s	GCF_000021185.1	-	n.c.	-	n.c.	TP	A	FN	A	FN	FN	TP	TP	TP	TP	TP
37	BacMap	Helicobacter pylori G27	HostAssociated	9606	s	"""Baltrus DA, Amieva MR, Covacci A, Lowe TM, Merrell DS, Ottemann KM, Stein M, Salama NR, Guillemin K. The complete genome sequence of Helicobacter pylori strain G27. J Bacteriol. 2009 Jan;191(1):447-8. doi: 10.1128/JB.01416-08. Epub 2008 Oct 24. PMID: 18952803; PMCID: PMC2612421."""	s	GCF_000021165.1	-	-	+	-	TP	FN	TP	FN	FN	TP	TP	TP	TP	TP	TP
38	BacMap	Escherichia coli O111:H- str. 11128	HostAssociated	9606	s	"""Ogura Y, Ooka T, Iguchi A, Toh H, Asadulghani M, Oshima K, Kodama T, Abe H, Nakayama K, Kurokawa K, Tobe T, Hattori M, Hayashi T. Comparative genomics reveal the mechanism of the parallel evolution of O157 and non-O157 enterohemorrhagic Escherichia coli. Proc Natl Acad Sci U S A. 2009 Oct 20;106(42):17939-44. doi: 10.1073/pnas.0903585106. Epub 2009 Oct 6. PMID: 19815525; PMCID: PMC2764950."""	s	GCF_000010765.1	-	+	+	+	TP	TP	TP	TP	FN	TP	TP	TP	TP	TP	TP
39	BacMap	Sphingobium chlorophenolicum L-1	Soil	0	n	"""Copley SD, Rokicki J, Turner P, Daligault H, Nolan M, Land M. The whole genome sequence of Sphingobium chlorophenolicum L-1: insights into the evolution of the pentachlorophenol degradation pathway. Genome Biol Evol. 2012;4(2):184-98. doi: 10.1093/gbe/evr137. Epub 2011 Dec 16. PMID: 22179583; PMCID: PMC3318906."""	n	GCF_000147835.2	-	n.c.	-	n.c.	TN	A	TN	A	TN	TN	TN	TN	TN	TN	TN
40	BacMap	Vibrio splendidus LGP32	Aquatic	0	n	"""Vezzulli L, Pezzati E, Stauder M, Stagnaro L, Venier P, Pruzzo C. Aquatic ecology of the oyster pathogens Vibrio splendidus and Vibrio aestuarianus. Environ Microbiol. 2015 Apr;17(4):1065-80. doi: 10.1111/1462-2920.12484. Epub 2014 May 7. PMID: 24725454."""	s	GCF_000091465.1	-	-	-	-	FN	FN	FN	FN	FN	FN	FN	FN	FN	FN	FN
41	BacMap	Riemerella anatipestifer DSM 15868	HostAssociated	0	s	"""Mavromatis K, Lu M, Misra M, Lapidus A, Nolan M, Lucas S, Hammon N, Deshpande S, Cheng JF, Tapia R, Han C, Goodwin L, Pitluck S, Liolios K, Pagani I, Ivanova N, Mikhailova N, Pati A, Chen A, Palaniappan K, Land M, Hauser L, Jeffries CD, Detter JC, Brambilla EM, Rohde M, Göker M, Gronow S, Woyke T, Bristow J, Eisen JA, Markowitz V, Hugenholtz P, Klenk HP, Kyrpides NC. Complete genome sequence of Riemerella anatipestifer type strain (ATCC 11845). Stand Genomic Sci. 2011 Apr 29;4(2):144-53. doi: 10.4056/sigs.1553862. PMID: 21677851; PMCID: PMC3111989."""	s	GCF_000183155.1	-	-	-	-	TP	FN	FN	FN	FN	FN	TP	TP	TP	TP	TP
42	BacMap	Paludibacter propionicigenes WB4	Terrestrial	0	n	Gronow, S., Munk, C., Lapidus, A., Nolan, M., Lucas, S., Hammon, N., Deshpande, S., Cheng, J. F., Tapia, R., Han, C., Goodwin, L., Pitluck, S., Liolios, K., Ivanova, N., Mavromatis, K., Mikhailova, N., Pati, A., Chen, A., Palaniappan, K., Land, M.,  Klenk, H. P. (2011). Complete genome sequence of Paludibacter propionicigenes type strain (WB4). Standards in genomic sciences, 4(1), 3644. https://doi.org/10.4056/sigs.1503846	n	GCF_000183135.1	-	-	-	-	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN	TN
43	BacMap	Lactobacillus crispatus ST1	HostAssociated	9606	s	"""Ojala T, Kuparinen V, Koskinen JP, Alatalo E, Holm L, Auvinen P, Edelman S, Westerlund-Wikström B, Korhonen TK, Paulin L, Kankainen M. Genome sequence of Lactobacillus crispatus ST1. J Bacteriol. 2010 Jul;192(13):3547-8. doi: 10.1128/JB.00399-10. Epub 2010 Apr 30. PMID: 20435723; PMCID: PMC2897677."""	s	GCF_000091765.1	n.d.	n.c.	-	n.c.	TP	A	FN	A	A	FN	TP	TP	TP	TP	TP
